category,text
koctas," Koçtaş internet sitesinden ürün siparişi verdim. Akabinde mağazadan teslim edileceği şeklinde işaretlediğim ürün mağazada bulunmadığı için kargo ile teslim alınması gerektiği söylendi. Aynı saat içerisinde siparişi iptal ettim, fakat 5 iş günü içerisinde ücretin geri iade edileceği belirtildiği halde ücret iadesi yapılmadı. "
koctas," Koçtaş'tan hazır perde aldım. Beğenmediğim için iade etmek istedim.
28.04'dan beri tarafıma Koçtaş'tan iade kodu verilmesini bekliyorum.
Müşteri hizmetleri ile birkaç kez görüşebildim. Her seferinde kaydınızı alıyoruz, problem olmaz, kod gelir demelerine karşın 10 gündür kod bekliyorum.
2 iş günü içerisinde kod geleceği söylenmişti oysaki. Koçtaş'tan daha kurumsal bir sistem beklerdim. Online alışverişi mağazaya iade etmemi de kabul etmiyorlar. Öylece bekliyorum. "
koctas," Koçtaş'tan aldığım ürünü iptal ettim, fakat henüz ücret iadesi yapılmadı, ücretin ivedilikle tarafıma yapılmasını istiyorum.
1031627195 numaralı siparişin ücretini ivedilikle istiyorum bu konu hakkında hiçbir bilgilendirme de yok ayrıca, ne zaman parayı hesabıma geri gelecek? "
koctas," Koçtaş ne olur yatır artık ücreti. 28 Nisan 2023 günü aldığım ürünü aynı gün iade ettim. Müşteri hizmetleri ile görüştüğümde 5 iş günü içerinde yatacağını söylediler. Lakın kaç gün oldu ne bir geri dönüş yapıldı ne de ücret iadesi yapıldı. Koçtaş tam bir pişmanlıksın "
koctas," Sipariş vermiş olduğumuz. Molina Güler dolabı yaklaşık 45 gündür elimize ulaşmadı en geç 24 Nisan'da kargoya verilmesi gerekir kendim gecikmeli olarak 29 Nisan'da Kargoya verildi ve hala Kargo gelmedi yaklaşık olarak 11 gün geçti. Bu yüzden bayağı bir sıkıntı çektik görüyorum ki bu sezon ütüyü buradaki birçok kişi çekmiş şikayetçiyiz Koçtaş'tan. Evini kurduğumuz için bayağı bir sıkıntı çekiyoruz. "
koctas," Ürün hasarlı geldi. 01.05.2023'te sipariş verdiğim ekmek dolabı, ürünün hacimsel büyüklüğü nedeniyle Horoz Lojistik ® diye bir firmaya verilmiş. Ürünüm 05.05.2023 tarihinde elime ulaştı. Paketi açtığımda üstü kırık, kapağı da kırık, içe çökmüştü. Koçtaş'ın çözüm merkezini arayıp bildirdim, resimlerini de gönderdim ama hala ses yok. 1031500538 numaralı siparişimin iadesini ve paramın iadesini istiyorum. "
koctas," Koçtaş'tan 09.04.2023'de berjer siparişi verdim ve ürün 09.05.2023'e kadar hala kargoya dahi verilmedi. Defalarca aramama rağmen sonuç alamadım. Mesaj attım, ancak yine de sonuç yok. A** sipariş verseydim, berjerim şimdiye gelmişti. "
koctas," 24.04.2023 tarihinde 1029071276 teslimat numaralı Koçtaş tan almış ürün Sendeo ® tarafından teslim edilmiştir. 26.04.2023 tarihinde oluşturduğum iade işleminden sonra 4 adet Koçtaş Müşteri hizmetleri,2 adet Sendeo Müşteri hizmetleri görüşmesi yaptım. Sonuç hala kargomun alınarak iade işleminin başlatılmasını bekliyorum. Siz; siz olun iade işlemi yapacaksınız muhatap bulmak için mağazayı seçin. Şunu belirtmeden geçemiyorum, Koçtaş ve Sendeo Koç grubu iştiraki. Bu durum ve Müşteri mağduriyeti bu grup için çok önemli olmasa gerek. 
Birazdan standart prosedür gereği müşterimizle iletişime geçtiğiniz için teşekkür ederim. "
koctas," Mağazadan görevliler ile birlikte aldığımız duşa kabin 15 gündür teslim edilmedi ama teslim edildi yazılar. 14 gündür sesimizi çıkarmadık diye verdiğimiz paranın üstüne mi yatmayı planlıyorsunuz ne yani? Bunun nedeni nedir? Koçtaş'tan bunu beklemezdim şahsen daha önce de alışveriş yaptık ama hiçbir sorun ile karşılaşmadık. Sipariş numarasını da veriyorum. 1031266671 "
koctas," 6 Nisan 2023 tarihinde Şişli 'deki Koçtaş mağazasından 120 cm eninde yaylı yatak satın aldım. Sipariş No: 1030681482. Ekteki belgede görüleceği gibi ödememi nakit olarak yaptım ve kargo ile evime gönderilmesini talep ettim. Kargo firmasının 1 hafta içinde beni arayacağı ya da SMS atacağı söylendi. Ne arandım, ne SMS atıldı ne de siparişim geldi. Sadece 24 Nisan'da talebiniz üzerine çalışmalarımız devam ediyor mesajı aldım. Defalarca aradım, mağazaya gittim ve hep teslim edildi bilgisi verdiler. Kargo firmasının Aras Kargo ® olduğunu öğrendim. Bütün süreçten Koçtaş firması sorum olduğu halde kargo firması ile benim görüşmemi istediler. Ancak teslim edilmediğine haftalar sonra ikna oldular ve paramı iade edeceklerini söylediler. İade işlemlerinin belli bir prosedürü olduğu ve bir süreç gerektiğini ve ödemenin mağazaya giderek şahsıma yapılacağını söylediler.Bu sürecinin 5 haftaya kadar sürebileceği belirtildi. Ben seçimlerden sonra Datça’daki yazlık evime gideceğim ve Datça’da Koçtaş yok deyince, o zaman Marmaris'e gitmeniz gerekecek cevabını aldım. 83 yaşında bir insana ürettikleri çözüm bu. Acaba Koçtaş’ın Şişli mağazası 1,264 TL ödeyemeyecek durumda mı? Talebim sürecin hızlandırılması ve 14 Mayıs’tan önce ödemenin şahsıma yapılmasıdır. Bunun için gereken talimatın derhal verilmesi ve hem SMS hem de telefonda bana haber verilerek Şişli şubesine davet edilmemdir. Koçtaş'ın adına yakışmayan bu durumu tolere edebilmem oldukça zor. "
